adduct,category
2M+FA-H,ok
2M+K-2H,ok
2M+Na-2H,ok
2M-2H+Na,ok
2M-H,ok
3M-H,ok
4M-H,ok
M,ok
M+2H,dubious
M+3H,dubious
M+Br,ok
M+C,dubious
M+CH3COO,ok
M+CH3COOH-H,ok
M+Cl,ok
M+Cl-,ok
M+FA-,ok
M+FA-H,ok
M+H,dubious
M+HCOO,ok
M+Na-2H,ok
M+TFA-H,ok
M+acetate,ok
M+formate,ok
M-2H,dubious
M-2H],dubious
M-CO+H,dubious
M-H,ok
M-H+Cl],dubious
M-H-NH3,ok
M-H1,ok
M-H2O-H,isf
M-X,isf
Precursor ion scan,dubious
Unknown,dubious
[2M+FA-H]-,ok
[2M+K-2H]-,ok
[2M+Na-2H]-,ok
[2M-2H+Na]-,ok
[2M-H+2i]-,ok
[2M-H+4i]-,ok
[2M-H],ok
[2M-H]-,ok
[3M-H]-,ok
[Anion]-,dubious
[Cat-2H-C8H4O2]-,isf
[Cat-2H-C8H4O3]-,isf
[Cat-2H-C9H4O4]-,isf
[Cat-2H-H2]-,dubious
[Cat-2H]-,dubious
[M+3Na-6H]3-,dubious
[M+C2F3O2]-,dubious
[M+C2H3O2]-,dubious
[M+CH3COOH-H]-,ok
[M+CH3COO]-,ok
[M+CH3COO]-/[M-CH3]-,ok
[M+CHO2]-,ok
[M+COOH]-,dubious
[M+Cl],ok
[M+Cl]-,ok
[M+FA-H]-,ok
[M+FA]-,ok
[M+H-H2O]-,isf
[M+HAc-H]-,ok
[M+HCOOH-H],ok
[M+HCOOH-H]-,ok
[M+HCOO]-,ok
[M+Hac-H]-,ok
[M+Na+K-4H]2-,dubious
[M+OAc]-,ok
[M+OH]-,isf
[M+Oac]- ,ok
[M+formate]-,ok
[M+x]-,dubious
[M+z]-,dubious
[M-2H-H2O]2-,isf
[M-2H]-,dubious
[M-2H]2-,dubious
[M-3H]3-,dubious
[M-CH3-H]-,isf
[M-CH3]-,isf
[M-H+2i]-,ok
[M-H+CH3OH],ok
[M-H+HCOOH],ok
[M-H+HCOOH]-,ok
[M-H+NH3]-,ok
[M-H-2H2O]-,isf
[M-H-BrNO]-,isf
[M-H-C10H10N2O3]-,isf
[M-H-C10H10N2O]-,isf
[M-H-C10H10N2S]-,isf
[M-H-C10H10O3]-,isf
[M-H-C10H10O4]-,isf
[M-H-C10H10O5]-,isf
[M-H-C10H10O]-,isf
[M-H-C10H11F2NO2]-,isf
[M-H-C10H11NO2]-,isf
[M-H-C10H12O2]-,isf
[M-H-C10H12O3]-,isf
[M-H-C10H12O4]-,isf
[M-H-C10H12O6]-,isf
[M-H-C10H13O]-,isf
[M-H-C10H14O6]-,isf
[M-H-C10H14O]-,isf
[M-H-C10H15N3O6S]-,isf
[M-H-C10H15NO2]-,isf
[M-H-C10H16O2]-,isf
[M-H-C10H16O3]-,isf
[M-H-C10H16O4]-,isf
[M-H-C10H16O6]-,isf
[M-H-C10H16O7]-,isf
[M-H-C10H16O]-,isf
[M-H-C10H17N3O6S2]-,isf
[M-H-C10H18N2O5]-,isf
[M-H-C10H18O2]-,isf
[M-H-C10H18O9]-,isf
[M-H-C10H18O]-,isf
[M-H-C10H18]-,isf
[M-H-C10H20O]-,isf
[M-H-C10H6N2O3S]-,isf
[M-H-C10H6NO]-,isf
[M-H-C10H7NO2S]-,isf
[M-H-C10H7NO2]-,isf
[M-H-C10H7NO]-,isf
[M-H-C10H8N2OS+2i]-,isf
[M-H-C10H8N2O]-,isf
[M-H-C10H8O3]-,isf
[M-H-C10H8O4]-,isf
[M-H-C10H8O5]-,isf
[M-H-C10H8O]-,isf
[M-H-C10H9N4+2i]-,isf
[M-H-C10H9NO2]-,isf
[M-H-C10H9NO3]-,isf
[M-H-C10H9O2]-,isf
[M-H-C11H10N2O]-,isf
[M-H-C11H10O6]-,isf
[M-H-C11H11NO2]-,isf
[M-H-C11H11NO3]-,isf
[M-H-C11H12O2]-,isf
[M-H-C11H12O4]-,isf
[M-H-C11H13NO5]-,isf
[M-H-C11H13NO6S3]-,isf
[M-H-C11H13NO]-,isf
[M-H-C11H14N4O3S]-,isf
[M-H-C11H14O3]-,isf
[M-H-C11H14O4]-,isf
[M-H-C11H14O6]-,isf
[M-H-C11H14O7]-,isf
[M-H-C11H14O]-,isf
[M-H-C11H15NO6]-,isf
[M-H-C11H16O8]-,isf
[M-H-C11H16O]-,isf
[M-H-C11H17ClO2]-,isf
[M-H-C11H18O2]-,isf
[M-H-C11H18O3]-,isf
[M-H-C11H18O9]-,isf
[M-H-C11H19N4]-,isf
[M-H-C11H20O7]-,isf
