wiki_id,name
aPUDE1U/2888,xanthurenic acid
aPUDE1U/840,xanthurenic acid
aPUDE1U/2302,vanillic acid
aPUDE1U/5238,vanillic acid
aPUDE1U/4261,uric acid
aPUDE1U/3178,uric acid
aPUDE1U/4519,uric acid
aPUDE1U/2646,taurolithocholic acid sulfate
aPUDE1U/494,taurolithocholic acid sulfate
aPUDE1U/3853,taurodeoxycholic acid
aPUDE1U/3763,taurodeoxycholic acid
aPUDE1U/585,taurocholic acid
aPUDE1U/3012,taurocholic acid 01
aPUDE1U/320,taurine
aPUDE1U/4940,taurine
aPUDE1U/3433,sucrose
aPUDE1U/5329,sucrose
aPUDE1U/5050,sucrose
aPUDE1U/2637,sorbose
aPUDE1U/5044,fructose
aPUDE1U/1299,salicyluric acid
aPUDE1U/1302,salicyluric acid
aPUDE1U/4047,ribulose 5-phosphate
aPUDE1U/934,ribose 5-phosphate a
aPUDE1U/4919,riboflavin
aPUDE1U/4656,riboflavin
aPUDE1U/1159,riboflavin
aPUDE1U/4655,riboflavin
aPUDE1U/3473,raffinose
aPUDE1U/1271,raffinose
aPUDE1U/5144,raffinose
aPUDE1U/3532,quinic acid
aPUDE1U/3547,quinic acid
aPUDE1U/3376,perseitol
aPUDE1U/3230,perseitol
aPUDE1U/1334,penicillamine disulfide
aPUDE1U/3584,paracetamol sulfate
aPUDE1U/3488,paracetamol sulfate
aPUDE1U/3560,pantoyl-taurine
aPUDE1U/2269,pantoyl-taurine
aPUDE1U/3570,pantothenol
aPUDE1U/5930,pantothenol
aPUDE1U/871,orotic acid
aPUDE1U/2582,orotic acid
aPUDE1U/3296,phosphoethanolamine
aPUDE1U/3124,O-phosphoethanolamine
aPUDE1U/3231,N-benzoyl-glutamic acid
aPUDE1U/4256,N-acetylvaline
aPUDE1U/2498,N-acetylsulfanilic acid
aPUDE1U/5179,N-acetylleucine_minor
aPUDE1U/809,N-acetylleucine
aPUDE1U/5535,N-acetylglutamine
aPUDE1U/2649,N-acetylcarnosine
aPUDE1U/4944,methanolphosphate
aPUDE1U/5413,methanethiosulfonate
aPUDE1U/3216,mannitol
aPUDE1U/5196,galactitol
aPUDE1U/3434,raffinose
aPUDE1U/4987,maltotetraose
aPUDE1U/4697,maltotetraose
aPUDE1U/3370,maltotetraose
aPUDE1U/440,maltotetraose
aPUDE1U/1234,maltitol
aPUDE1U/1230,maltitol
aPUDE1U/146,maltitol
aPUDE1U/474,maltitol
aPUDE1U/466,maltitol
aPUDE1U/598,malic acid
aPUDE1U/2721,malic acid a
aPUDE1U/3098,malic acid
aPUDE1U/2915,malic acid
aPUDE1U/5277,malic acid_peak cluster
aPUDE1U/3336,laurylsulfuric acid
aPUDE1U/5087,lauric acid sulfate
aPUDE1U/1157,isocholic acid
aPUDE1U/1851,isocholic acid
aPUDE1U/632,irbesartan
aPUDE1U/3067,irbesartan
aPUDE1U/3208,iopromide
aPUDE1U/1357,iopromide
aPUDE1U/3902,iopamidol
aPUDE1U/3892,Iopamidol
aPUDE1U/681,inosine
aPUDE1U/5119,inosine
