wiki_id,name,adduct,confidence,entropy_sim,sim_gap,signed_delta_rt,spectral_entropy,reason
aPUDE1U/2265,"3,5-dihydroxydecanoic acid",[M-H]-,0.016,0.465,0.034,22.1,1.95,RT off (+22s); weak spectral match (0.46)
aPUDE1U/795,panosialin A,[M-H]-,0.021,0.52,0.0,-32.5,0.96,RT off (-32s); near-tie (gap=0.000); weak spectral match (0.52)
aPUDE1U/3281,N-acetylcysteine,[M-H]-,0.033,0.644,0.029,65.1,1.42,RT off (+65s); near-tie (gap=0.029)
aPUDE1U/2492,oxalic acid,[M-H]-,0.042,0.506,0.506,-34.4,0.21,RT off (-34s); weak spectral match (0.51); very few peaks (entropy=0.21)
aEKJ9AS/10318,hemin Fe-cation,[M]+,0.053,0.743,0.034,-51.0,2.62,RT off (-51s)
aEKJ9AS/2911,Taurine,[M+H]+,0.053,0.401,0.036,-16.8,0.93,RT off (-17s); weak spectral match (0.40)
aPUDE1U/1612,uric acid,[2M-2H+Na]-,0.056,0.475,0.367,-20.5,0.97,RT off (-20s); weak spectral match (0.48)
aEKJ9AS/12063,cyclomethyltryptophan,[M+H]+,0.058,0.653,0.096,-42.4,1.84,RT off (-42s)
aPUDE1U/454,glycolic acid,[M-H]-,0.06,0.481,0.481,-20.4,1.09,RT off (-20s); weak spectral match (0.48)
aEKJ9AS/10316,hemin Fe-cation a,[M]+,0.061,0.742,0.032,-44.8,2.54,RT off (-45s)
aPUDE1U/2160,C10-LAS,[M-H]-,0.062,0.748,0.029,-48.6,1.32,RT off (-49s); near-tie (gap=0.029)
aPUDE1U/935,N-acetylleucine,[M-H]-,0.063,0.72,0.0,-45.7,1.23,RT off (-46s); near-tie (gap=0.000)
aPUDE1U/1610,"cinnamic acid, glycosyl-",[M-H-C6H10O5]-,0.065,0.847,0.064,75.3,0.47,RT off (+75s); very few peaks (entropy=0.47)
aEKJ9AS/11142,putatitive 1-(4-methylpiperazin-1-yl)propan-2-yl 4-ethoxybenzoate,[M+H-C9H10O3]+,0.067,0.734,0.157,-51.9,1.64,RT off (-52s)
aPUDE1U/1373,Lauric acid,[M-H]-,0.068,0.168,0.005,13.4,1.82,near-tie (gap=0.005); weak spectral match (0.17)
aPUDE1U/3460,PC 18:0_20:4 a,[M+FA-H]-,0.075,0.527,0.183,18.5,1.94,RT off (+18s); weak spectral match (0.53)
aEKJ9AS/4675,quinaprilat,[M+H]+,0.076,0.913,0.044,-54.9,2.12,RT off (-55s)
aPUDE1U/459,3-hydroxycaproic acid,[M-H]-,0.078,0.594,0.0,27.0,1.19,RT off (+27s); near-tie (gap=0.000); weak spectral match (0.59)
aPUDE1U/1835,2-(2-methoxyethoxy)propanoic acid,[M-H]-,0.079,0.546,0.137,21.7,1.69,RT off (+22s); weak spectral match (0.55)
aPUDE1U/2611,6-amino-4-hydroxy-2-naphthalenesulfonic acid,[M-H]-,0.082,0.713,0.014,37.2,1.04,RT off (+37s); near-tie (gap=0.014)
aPUDE1U/2517,5-fluoro-1H-indazole-3-carboxylic acid,[M+Cl]-,0.084,0.67,0.055,36.1,0.43,RT off (+36s); very few peaks (entropy=0.43)
