excel_row,pandas_idx,wiki_id,name,adduct,identity_score,fuzzy_score,precursor_mz,rt,entropy,color,comment
16,10,aPUDE1U/1443,xanthosine,[M-H]-,1.0,1.0,283.068516379531,75.8002347458626,0.0,yellow,
17,11,aPUDE1U/5291,xanthosine,[M-H]-,0.737156689167022,0.812002062797546,283.068347609496,85.1401235125883,0.840859651565551,yellow,
18,12,aPUDE1U/5499,xanthosine,[M-H]-,0.94288158416748,0.94288158416748,283.068466753841,107.214966589366,0.469734132289886,yellow,
120,114,aPUDE1U/5371,threonic acid,[M-H]-,0.994613826274871,0.994613766670227,135.030045070879,136.105511510676,1.06108164787292,yellow,
121,115,aPUDE1U/5715,threonic acid,[M-H]-,0.923550844192504,0.923550903797149,135.030028345986,113.386464520041,1.18073070049285,yellow,
122,116,aPUDE1U/4224,threonic acid,[M-H]-,0.881741821765899,0.881741762161254,135.030014042541,126.53258050593,1.40475714206695,yellow,
130,124,aPUDE1U/2663,tetradecane-7-sulfonic acid,[M-H]-,0.999961972236633,0.99999988079071,277.184303143563,11.9253307193087,0.173123553395271,yellow,
131,125,aPUDE1U/3129,tetradecane-7-sulfonic acid,[M-H]-,0.609009802341461,0.656312525272369,277.184333661073,15.9061706169407,1.57440614700317,yellow,
132,126,aPUDE1U/5105,tetradecane-7-sulfonic acid,[M-H]-,0.999915778636932,0.999999940395355,277.184211591031,22.4359994073138,0.163285076618194,yellow,
137,131,aPUDE1U/3854,taurodeoxycholic acid,[M-H]-,0.875608921051025,0.875608921051025,498.289802649665,80.8023782777158,1.59617340564727,yellow,
138,132,aPUDE1U/439,tauroursodeoxycholic acid,[M-H]-,0.687023997306823,0.715714573860168,498.28932118093,79.3369497182299,2.13646364212036,yellow,
139,133,aPUDE1U/4750,taurodeoxycholic acid,[M-H]-,0.955977439880371,0.955977320671081,498.289690138156,92.2228978411692,1.38714361190795,yellow,
168,162,aPUDE1U/5381,succinic acid,[M-H]-,0.840818405151367,0.840818405151367,117.019853819285,59.3955158030969,1.15647876262664,yellow,
169,163,aPUDE1U/2387,succinic acid,[M-H]-,0.939358174800872,0.939358115196228,117.019425149225,68.1166809294241,0.753551006317138,yellow,
170,164,aPUDE1U/463,succinic acid,M-H,0.995885789394378,0.995885670185089,117.019318262159,75.7453376484932,0.615574955940246,yellow,
219,213,aPUDE1U/480,salicyluric acid,[M-H]-,0.943881690502166,0.943881750106811,194.046052108792,37.7106670321831,0.93651807308197,orange,
220,214,aPUDE1U/3069,salicyluric acid,[2M-H]-,0.868165254592895,0.868165254592895,389.099056338252,33.5316629447188,1.18491113185882,orange,
244,238,aPUDE1U/5171,quinic acid,[M-H]-,0.921457409858703,0.921457409858703,191.05611704532,119.758959322751,2.57870697975158,orange,
245,239,aPUDE1U/5591,quinic acid,[M-H]-,0.738446414470672,0.895107626914978,191.069767355478,119.851495869418,2.75726175308227,orange,
306,300,aPUDE1U/938,Phe-Phe a,[M-H]-,0.951586604118347,0.951586425304412,311.140172669804,79.3515616843579,2.20041012763977,yellow,
307,301,aPUDE1U/5880,Phe-Phe,[M-H]-,0.905050635337829,0.905050754547119,311.140187363733,79.5281894086408,2.36101555824279,yellow,
314,308,aPUDE1U/3234,phenylacetylglycine,[M-H]-,0.780238211154937,0.780238211154937,192.066540825401,39.7067453914635,0.16843968629837,yellow,
315,309,aPUDE1U/3152,phenylacetylglycine,[M-H]-,0.750166118144989,0.756655871868133,192.066666719335,46.7263310594695,0.436565220355987,yellow,
330,324,aPUDE1U/1422,PG 16:0_18:2,[M-H]-,0.849209189414978,0.875719547271728,745.503051324416,25.2753720228844,1.61163663864135,yellow,MSMS ok
331,325,aPUDE1U/3941,PG 16:0_18:2,[M-H]-,0.862653791904449,0.890173137187957,745.503315824869,16.8248086862404,1.55380070209503,yellow,"MSMS ok, main peak"
332,326,aPUDE1U/3096,PG 16:0_18:1,[M-H]-,0.871522545814514,0.906323909759521,747.518532934011,18.0266442306804,1.39549553394317,yellow,MSMS ok
334,328,aPUDE1U/1175,PG 16:0_16:0,[M-H]-,0.863119542598724,0.915358185768127,721.503736646545,17.9266932183426,0.99334168434143,yellow,"MSMS ok, main peak"
357,351,aPUDE1U/1165,p-cresol sulfate,M-H,0.893606007099151,0.980991721153259,187.017168375697,13.6490609107547,0.681521654129028,yellow,
358,352,aPUDE1U/4664,p-cresol sulfate,[M-H]-,0.987041115760803,0.999936819076538,187.007134958037,13.7087826351273,0.653614461421966,yellow,
402,396,aPUDE1U/921,pantothenic acid,[M-H]-,0.890620410442352,0.890620470046997,218.103270687748,45.1600949731095,1.56954371929168,yellow,both look fine but cannot be correct simultaneously
403,397,aPUDE1U/920,pantothenic acid,[M-H]-,0.89710921049118,0.89710921049118,218.110307889706,45.7234322250933,1.58849203586578,yellow,both look fine but cannot be correct simultaneously
405,399,aPUDE1U/4062,pantetheine,[M-H]-,0.85358840227127,0.853588581085205,277.122776719383,16.1693056129251,1.88155031204223,yellow,both look fine but cannot be correct simultaneously
406,400,aPUDE1U/3317,pantetheine,[M-H-C5H9NOS]-,0.661132156848907,0.724884390830993,146.082395447544,43.4182959900179,1.52042078971862,yellow,both look fine but cannot be correct simultaneously
422,416,aPUDE1U/1903,O-phosphoethanolamine,[M-H]-,0.776447236537933,0.873782217502594,140.011930543083,130.303054153684,0.199320882558822,yellow,no mz 281.031
